# simple library
# Format:
# name strength load_cap num_load num_in_slew load ... slew ...
#   rising_delay... rising_slew... falling_delay ... falling_slew ...
NAND2 A 0.0 1 1 0.0 0.0   2.0 0.0   1.0 0.0
NAND2 B 0.0 1 1 0.0 0.0   4.0 0.0   2.0 0.0
NAND2 C 0.0 1 1 0.0 0.0   3.0 0.0   1.0 0.0
NAND2 D 0.0 1 1 0.0 0.0   1.0 0.0   1.0 0.0
NAND2 E 0.0 1 1 0.0 0.0   3.0 0.0   2.0 0.0
NAND2 F 0.0 1 1 0.0 0.0   2.0 0.0   2.0 0.0
NAND2 G 0.0 1 1 0.0 0.0   1.0 0.0   3.0 0.0
NAND3 A 0.0 1 1 0.0 0.0   4.0 0.0   3.0 0.0
NAND4 A 0.0 1 1 0.0 0.0   5.0 0.0   4.0 0.0
NAND5 A 0.0 1 1 0.0 0.0   5.0 0.0   4.0 0.0
NAND6 A 0.0 1 1 0.0 0.0   5.0 0.0   4.0 0.0
NAND7 A 0.0 1 1 0.0 0.0   5.0 0.0   4.0 0.0
NAND8 A 0.0 1 1 0.0 0.0   5.0 0.0   4.0 0.0
NAND9 A 0.0 1 1 0.0 0.0   5.0 0.0   4.0 0.0

AND2 A 0.0 1 1 0.0 0.0   3.0 0.0   4.0 0.0
AND3 A 0.0 1 1 0.0 0.0   4.0 0.0   3.0 0.0
AND4 A 0.0 1 1 0.0 0.0   5.0 0.0   4.0 0.0
AND5 A 0.0 1 1 0.0 0.0   6.0 0.0   5.0 0.0
AND6 A 0.0 1 1 0.0 0.0   5.0 0.0   4.0 0.0
AND7 A 0.0 1 1 0.0 0.0   5.0 0.0   4.0 0.0
AND8 A 0.0 1 1 0.0 0.0   5.0 0.0   4.0 0.0
AND9 A 0.0 1 1 0.0 0.0   5.0 0.0   4.0 0.0

NOR2 A 0.0 1 1 0.0 0.0   1.0 0.0   3.0 0.0
NOR3 A 0.0 1 1 0.0 0.0   4.0 0.0   3.0 0.0
NOR4 A 0.0 1 1 0.0 0.0   5.0 0.0   4.0 0.0

NOR5 A 0.0 1 1 0.0 0.0   5.0 0.0   4.0 0.0
NOR6 A 0.0 1 1 0.0 0.0   5.0 0.0   4.0 0.0
NOR7 A 0.0 1 1 0.0 0.0   5.0 0.0   4.0 0.0
NOR8 A 0.0 1 1 0.0 0.0   5.0 0.0   4.0 0.0

OR2 A 0.0 1 1 0.0 0.0   3.0 0.0   4.0 0.0
OR3 A 0.0 1 1 0.0 0.0   4.0 0.0   3.0 0.0
OR4 A 0.0 1 1 0.0 0.0   5.0 0.0   4.0 0.0
OR5 A 0.0 1 1 0.0 0.0   5.0 0.0   4.0 0.0
OR6 A 0.0 1 1 0.0 0.0   5.0 0.0   4.0 0.0
OR7 A 0.0 1 1 0.0 0.0   5.0 0.0   4.0 0.0
OR8 A 0.0 1 1 0.0 0.0   5.0 0.0   4.0 0.0

NOT1 A 0.0 1 1 0.0 0.0   1.0 0.0   1.0 0.0
BUF1 A 0.0 1 1 0.0 0.0   2.0 0.0   2.0 0.0

XOR2 A 0.0 1 1 0.0 0.0   6.0 0.0   5.0 0.0
# end

